iter	Passed	Remaining
244	637	663
245	640	661
246	642	658
247	645	655
248	647	652
249	650	650
250	652	647
251	654	644
252	657	641
253	659	638
254	662	636
255	664	633
256	667	630
257	670	628
258	673	626
259	675	623
260	678	621
261	681	618
262	683	616
263	686	613
264	688	610
265	690	607
266	693	604
267	695	602
268	698	599
269	701	597
270	703	594
271	706	591
272	708	589
273	710	586
274	713	583
275	715	580
276	717	577
277	719	574
278	722	572
279	724	569
280	726	566
281	728	563
282	731	560
283	733	558
284	736	555
285	738	552
286	740	549
287	743	546
288	745	544
289	747	541
290	749	538
291	751	535
292	754	532
293	756	529
294	758	526
295	760	524
296	762	521
297	765	518
298	767	516
299	769	513
300	771	510
301	773	507
302	775	504
303	778	501
304	780	499
305	783	496
306	785	493
307	787	490
308	789	487
309	791	485
310	793	482
311	796	480
312	799	477
313	802	475
314	804	472
315	807	469
316	809	467
317	812	464
318	814	462
319	817	459
320	820	457
321	822	454
322	824	452
323	827	449
324	830	447
325	832	444
326	834	441
327	836	438
328	838	436
329	841	433
330	843	430
331	845	427
332	847	425
333	850	422
334	852	419
335	854	417
336	856	414
337	859	411
338	861	409
339	863	406
340	865	403
341	867	400
342	869	398
343	872	395
344	874	392
345	876	390
346	879	387
347	881	384
348	883	382
349	885	379
350	887	376
351	890	374
352	892	371
353	894	369
354	896	366
355	899	363
356	901	361
357	903	358
358	906	356
359	908	353
360	911	350
361	913	348
362	915	345
363	917	342
364	919	340
365	922	337
366	924	334
367	926	332
368	928	329
369	930	326
370	932	324
371	934	321
372	937	319
373	939	316
374	941	313
375	943	311
376	945	308
377	948	305
378	950	303
379	953	300
380	955	298
381	957	295
382	960	293
383	962	290
384	964	288
385	967	285
386	969	283
387	972	280
388	974	278
389	976	275
390	978	272
391	981	270
392	983	267
393	986	265
394	988	262
395	990	260
396	992	257
397	995	255
398	997	252
399	1000	250
400	1002	247
401	1004	244
402	1007	242
403	1009	239
404	1011	237
405	1013	234
406	1016	232
407	1018	229
408	1021	227
409	1023	224
410	1025	222
411	1027	219
412	1030	217
413	1032	214
414	1035	212
415	1037	209
416	1040	207
417	1042	204
418	1045	202
419	1047	199
420	1050	197
421	1053	194
422	1055	192
423	1058	189
424	1061	187
425	1064	184
426	1067	182
427	1069	179
428	1072	177
429	1075	175
430	1077	172
431	1080	170
432	1083	167
433	1085	165
434	1087	162
435	1090	160
436	1109	159
437	1111	157
438	1114	154
439	1116	152
440	1118	149
441	1120	147
442	1123	144
443	1125	142
444	1128	139
445	1131	136
446	1133	134
447	1136	131
448	1138	129
449	1141	126
450	1144	124
451	1147	121
452	1150	119
453	1152	116
454	1155	114
455	1157	111
456	1160	109
457	1163	106
458	1165	104
459	1168	101
460	1171	99
461	1175	96
462	1178	94
463	1181	91
464	1184	89
465	1187	86
466	1189	84
467	1192	81
468	1195	79
469	1200	76
470	1205	74
471	1209	71
472	1229	70
473	1232	67
474	1235	65
475	1238	62
476	1240	59
477	1243	57
478	1247	54
479	1249	52
480	1252	49
481	1255	46
482	1258	44
483	1260	41
484	1263	39
485	1266	36
486	1269	33
487	1272	31
488	1275	28
489	1279	26
490	1282	23
491	1285	20
492	1288	18
493	1290	15
494	1293	13
495	1296	10
496	1299	7
497	1303	5
498	1306	2
499	1308	0
