iter	Logloss
0	0.606684494
1	0.5340993404
2	0.4696798325
3	0.4218966007
4	0.373455143
5	0.3378547668
6	0.299584794
7	0.2700835943
8	0.2481039524
9	0.2278352499
10	0.2088414669
11	0.1898693085
12	0.1681991696
13	0.1520707369
14	0.1370316029
15	0.1261714101
16	0.1174024105
17	0.1095975161
18	0.1008011818
19	0.09264215231
20	0.08622938395
21	0.08192411065
22	0.07597250938
23	0.07138893604
24	0.06574690342
25	0.06190129519
26	0.05870385766
27	0.05492187738
28	0.05172536373
29	0.0483340323
30	0.04524842203
31	0.04279639721
32	0.0411247611
33	0.03865832686
34	0.03721421361
35	0.03566862345
36	0.03457765877
37	0.03308702111
38	0.03162370324
39	0.03033956289
40	0.0290609628
41	0.02794168591
42	0.02720582485
43	0.02612737119
44	0.02556170523
45	0.02465015948
46	0.02392230928
47	0.02335964739
48	0.02256400138
49	0.02179638594
50	0.02103671134
51	0.02049632967
52	0.01991222501
53	0.01943947971
54	0.0189426735
55	0.01835020483
56	0.01775640249
57	0.01724838465
58	0.01679198146
59	0.01638160199
60	0.01590134501
61	0.01545509696
62	0.01498055458
63	0.01466529667
64	0.01436930001
65	0.01403165758
66	0.01375955939
67	0.01340158731
68	0.01310062855
69	0.01277912408
70	0.01256038398
71	0.01222454682
72	0.01204510033
73	0.01182145178
74	0.01156895012
75	0.01130433455
76	0.01103594899
77	0.01085234731
78	0.01069648117
79	0.01051286981
80	0.01032762006
81	0.01007675603
82	0.0098672539
83	0.00968984887
84	0.009554404765
85	0.009409049898
86	0.009205017239
87	0.00903358534
88	0.008831252158
89	0.008673994243
90	0.008520153165
91	0.008377282321
92	0.008213073015
93	0.008116002381
94	0.007985767722
95	0.007852087915
96	0.007695800066
97	0.007556744665
98	0.007433457673
99	0.007300333679
100	0.007212325931
101	0.007095442712
102	0.006983932853
103	0.006874084473
104	0.006761629879
105	0.006660185009
106	0.006563933194
107	0.006460285187
108	0.006379579008
109	0.006283780187
110	0.00616921857
111	0.006077064574
112	0.00599440597
113	0.005916822702
114	0.005844343454
115	0.005780289695
116	0.005692780763
117	0.005601430312
118	0.005491425842
119	0.005426284671
120	0.005367404968
121	0.005298281461
122	0.005244027078
123	0.005175942183
124	0.005123307928
125	0.005063482374
126	0.00500413999
127	0.004945835099
128	0.004889239371
129	0.004820194095
130	0.004768192396
131	0.004717731476
132	0.004650627077
133	0.004603660107
134	0.004557903111
135	0.004521517456
136	0.004470562935
137	0.004426291585
138	0.004384625703
139	0.004333300143
140	0.004289030284
141	0.004245519638
142	0.004211419821
143	0.004174963757
144	0.004137439281
145	0.004101397842
146	0.004065280408
147	0.004026100785
148	0.003993219137
149	0.003957975283
150	0.003921178356
151	0.003889574111
152	0.003846140206
153	0.003817516565
154	0.003783804551
155	0.003755749017
156	0.003720460832
157	0.003693903238
158	0.003661844134
159	0.003634958714
160	0.003601823002
161	0.003576689214
162	0.003549811989
163	0.003525773063
164	0.003501961753
165	0.003478744626
166	0.003450439125
167	0.003424094617
168	0.00339781791
169	0.003376127779
170	0.003350588307
171	0.003329408169
172	0.00330629386
173	0.003283292428
174	0.003263225034
175	0.003206532076
176	0.003184012324
177	0.003161600232
178	0.003142895177
179	0.003115497157
180	0.003097254224
181	0.003070767969
182	0.003045535833
183	0.003025243245
184	0.00299985595
185	0.002983010188
186	0.002966397256
187	0.002936004288
188	0.002920100093
189	0.002891160548
190	0.002873469144
191	0.002850591019
192	0.002819317766
193	0.002802453004
194	0.002785887197
195	0.002763913199
196	0.00274276454
197	0.002703201957
198	0.002683987096
199	0.002657173388
200	0.002619317174
201	0.002596937679
202	0.00257942006
203	0.002559810504
204	0.002536070906
205	0.002515347674
206	0.002493100613
207	0.00247485619
208	0.002443854325
209	0.002425063215
210	0.002415750735
211	0.002386504784
212	0.002368885465
213	0.002354570478
214	0.002337394468
215	0.002310511842
216	0.00229418911
217	0.002276604995
218	0.002260885388
219	0.002245426364
220	0.002233392932
221	0.002216640487
222	0.002197621763
223	0.002183520049
224	0.002169375308
225	0.002155685984
226	0.002141049877
227	0.002119173855
228	0.002099976316
229	0.002087268978
230	0.002073007822
231	0.002069491521
232	0.002069478109
233	0.002069474012
234	0.002069472894
235	0.002057727426
236	0.002057701722
237	0.0020577088
238	0.00204867404
239	0.002048676647
240	0.002048604749
241	0.002048627287
242	0.002036610432
243	0.002036565728
244	0.002016746253
245	0.002016717941
246	0.00200810656
247	0.002008077502
248	0.001999916695
249	0.001988329366
250	0.001988111064
251	0.001980004087
252	0.001969207823
253	0.001969137788
254	0.001961200126
255	0.001961210743
256	0.001961185411
257	0.001961138099
258	0.001961138099
259	0.001961197332
260	0.001961197332
261	0.001953445375
262	0.001941832155
263	0.00194182843
264	0.001941842213
265	0.001941842213
266	0.001933998615
267	0.001915927231
268	0.001904672012
269	0.001904724911
270	0.001904704422
271	0.001891960204
272	0.001891652122
273	0.001891671307
274	0.001891627163
275	0.001891632378
276	0.001891565137
277	0.001891566999
278	0.001891482621
279	0.001874750853
280	0.001874625683
281	0.001874427684
282	0.001867084578
283	0.001860120147
284	0.001860110462
285	0.001860081963
286	0.001840823516
287	0.00184077993
288	0.001840762794
289	0.001840725169
290	0.00184053015
291	0.001840303838
292	0.001840236038
293	0.001837693527
294	0.001837702841
295	0.001837653667
296	0.001837660745
297	0.001834438927
298	0.001834520325
299	0.001834462211
300	0.001834461279
301	0.001834440418
302	0.00183442831
303	0.001834452339
304	0.001834404655
305	0.001834429987
306	0.001834425516
307	0.001834433526
308	0.001834409311
309	0.001827514917
310	0.001827562973
311	0.001827505417
312	0.001827515103
313	0.001827452146
314	0.001827247813
315	0.001827242598
316	0.001827190816
317	0.001827188954
318	0.001827140898
319	0.001827122271
320	0.001827116683
321	0.001826863177
322	0.00182685554
323	0.001816286519
324	0.001816257089
325	0.001816261001
326	0.001815438643
327	0.001815369353
328	0.001808487065
329	0.001808487065
330	0.001801946014
331	0.0018019218
332	0.00180193074
333	0.001801888831
334	0.001795100793
335	0.00179508701
336	0.001788537949
337	0.001788503118
338	0.001788534038
339	0.001788518019
340	0.001788489893
341	0.001788409054
342	0.001788407378
343	0.001788425818
344	0.001788366213
345	0.00178838335
346	0.001781615429
347	0.001781561226
348	0.001774964482
349	0.001774947345
350	0.001774926111
351	0.00177488178
352	0.001774928719
353	0.001774925739
354	0.001767677814
355	0.001760124229
356	0.001752654836
357	0.001746659912
358	0.001738889329
359	0.001738892868
360	0.001738889888
361	0.001738834009
362	0.001738858968
363	0.001738808677
364	0.001733024418
365	0.001732968353
366	0.001727177016
367	0.001720438153
368	0.001720367372
369	0.001720361784
370	0.001720348746
371	0.001716816798
372	0.001716772839
373	0.001716810092
374	0.001716822758
375	0.001716797426
376	0.001710298099
377	0.001710281707
378	0.001710209996
379	0.00171024669
380	0.001710188389
381	0.001704060286
382	0.001698571444
383	0.001695699245
384	0.001695591956
385	0.00169559326
386	0.001695609652
387	0.001695610024
388	0.00169557035
389	0.001695569046
390	0.00168974828
391	0.001689566858
392	0.001689557172
393	0.001689560711
394	0.001689427719
395	0.001689359546
396	0.001689347997
397	0.001683451049
398	0.001683432981
399	0.001683444902
400	0.00168341808
401	0.001683415845
402	0.001683427393
403	0.001683425158
404	0.001683404669
405	0.001683399826
406	0.001683415473
407	0.001683397219
408	0.001683420129
409	0.001683381386
410	0.001683422364
411	0.0016833812
412	0.001683164388
413	0.001683080755
414	0.001683075726
415	0.001682914421
416	0.001682922617
417	0.00167902261
418	0.001673625037
419	0.001673625037
420	0.001673625037
421	0.001673625037
422	0.001673625037
423	0.001673625037
424	0.001673625037
425	0.001673615351
426	0.001673605293
427	0.001673512347
428	0.001673512347
429	0.001673512347
430	0.001673519239
431	0.001673568413
432	0.001673504338
433	0.001673487946
434	0.001673409157
435	0.001673465595
436	0.001673343591
437	0.001673315093
438	0.001673287712
439	0.001673219725
440	0.001673236489
441	0.001673238166
442	0.001673195139
443	0.001669750735
444	0.001669769175
445	0.001663996279
446	0.001663976163
447	0.001663976721
448	0.001663994789
449	0.001663952507
450	0.001663968526
451	0.001663938724
452	0.001663963497
453	0.001663905755
454	0.001663939655
455	0.00166390799
456	0.001663899049
457	0.001663908176
458	0.001657203957
459	0.001657203957
460	0.001657219976
461	0.001657086611
462	0.001657092199
463	0.001657115109
464	0.001657074876
465	0.001657055318
466	0.001657038182
467	0.001657067984
468	0.001657059416
469	0.00165700987
470	0.001657034829
471	0.001657023281
472	0.001657006145
473	0.001657002605
474	0.001657032222
475	0.001656979322
476	0.001656969264
477	0.001656973176
478	0.001651520655
479	0.001651515067
480	0.001651432738
481	0.00165136084
482	0.001651416346
483	0.001651347429
484	0.001651387289
485	0.001651356183
486	0.001651272364
487	0.001646247879
488	0.001646204665
489	0.001646202244
490	0.001646055281
491	0.001646045409
492	0.001646045409
493	0.001646056585
494	0.001640552841
495	0.001635282114
496	0.001635254547
497	0.001635060087
498	0.001635085046
499	0.001635063812
